Date,Produit,Carrefour_Station_ID,Carrefour_Station_Name,Inférieur,Égal,Supérieur
2024-03-15,Gazole,13780007,"1257    Carrefour
Name: Enseignes, dtype: object",1,1,0
2024-03-15,Gazole,13920004,"1273    Carrefour
Name: Enseignes, dtype: object",9,0,4
2024-03-15,Gazole,14053001,"1285    Carrefour
Name: Enseignes, dtype: object",16,0,11
2024-03-15,Gazole,14112001,"1294    Carrefour
Name: Enseignes, dtype: object",14,0,9
2024-03-15,Gazole,14123010,"1303    Carrefour
Name: Enseignes, dtype: object",17,0,8
2024-03-15,Gazole,14125001,"1304    Carrefour
Name: Enseignes, dtype: object",16,0,8
2024-03-15,Gazole,14204001,"1322    Carrefour
Name: Enseignes, dtype: object",13,0,14
2024-03-15,Gazole,14230003,"1326    Carrefour
Name: Enseignes, dtype: object",3,0,1
2024-03-15,Gazole,14250002,"1328    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,14270001,"1330    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,14290001,"1333    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,14310003,"1336    Carrefour
Name: Enseignes, dtype: object",1,1,1
2024-03-15,Gazole,14320003,"1339    Carrefour
Name: Enseignes, dtype: object",15,5,0
2024-03-15,Gazole,14380001,"1343    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,14390001,"1346    Carrefour
Name: Enseignes, dtype: object",2,0,2
2024-03-15,Gazole,14400009,"1349    Carrefour
Name: Enseignes, dtype: object",3,1,3
2024-03-15,Gazole,14410002,"1353    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,14420002,"1355    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,14450001,"1359    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,14470002,"1362    Carrefour
Name: Enseignes, dtype: object",0,0,4
2024-03-15,Gazole,14480001,"1363    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,14500003,"1365    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,14500008,"1367    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,14540001,"1373    Carrefour
Name: Enseignes, dtype: object",17,0,7
2024-03-15,Gazole,14680001,"1381    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,14700001,"1382    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,14780002,"1391    Carrefour
Name: Enseignes, dtype: object",0,0,9
2024-03-15,Gazole,14800006,"1394    Carrefour
Name: Enseignes, dtype: object",1,0,6
2024-03-15,Gazole,14960001,"1400    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,15000017,"1412    Carrefour
Name: Enseignes, dtype: object",0,0,11
2024-03-15,Gazole,15100005,"1417    Carrefour
Name: Enseignes, dtype: object",3,0,1
2024-03-15,Gazole,15250004,"1436    Carrefour
Name: Enseignes, dtype: object",0,3,9
2024-03-15,Gazole,15250006,"1437    Carrefour
Name: Enseignes, dtype: object",0,0,5
2024-03-15,Gazole,15400003,"1446    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,15500007,"1450    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,16120004,"1475    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,16140002,"1477    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,16250001,"1490    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,16350001,"1502    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,16800001,"1522    Carrefour
Name: Enseignes, dtype: object",5,2,4
2024-03-15,Gazole,17138009,"1550    Carrefour
Name: Enseignes, dtype: object",8,0,6
2024-03-15,Gazole,17170003,"1558    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,17250002,"1576    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,17440003,"1608    Carrefour
Name: Enseignes, dtype: object",10,0,7
2024-03-15,Gazole,17520001,"1614    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,17530003,"1617    Carrefour
Name: Enseignes, dtype: object",0,5,2
2024-03-15,Gazole,17580002,"1621    Carrefour
Name: Enseignes, dtype: object",4,0,0
2024-03-15,Gazole,17690001,"1632    Carrefour
Name: Enseignes, dtype: object",7,0,8
2024-03-15,Gazole,17770002,"1640    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,18000001,"1646    Carrefour
Name: Enseignes, dtype: object",7,1,0
2024-03-15,Gazole,18000002,"1647    Carrefour
Name: Enseignes, dtype: object",5,1,2
2024-03-15,Gazole,18000004,"1648    Carrefour
Name: Enseignes, dtype: object",7,0,1
2024-03-15,Gazole,18000014,"1650    Carrefour
Name: Enseignes, dtype: object",4,1,3
2024-03-15,Gazole,18100015,"1660    Carrefour
Name: Enseignes, dtype: object",2,3,0
2024-03-15,Gazole,18100016,"1661    Carrefour
Name: Enseignes, dtype: object",2,3,0
2024-03-15,Gazole,18110001,"1664    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,18160001,"1670    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,18200001,"1673    Carrefour
Name: Enseignes, dtype: object",0,2,2
2024-03-15,Gazole,18220001,"1679    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,18300001,"1685    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,18390003,"1694    Carrefour
Name: Enseignes, dtype: object",5,1,2
2024-03-15,Gazole,18400004,"1697    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,18500008,"1702    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,18570002,"1704    Carrefour
Name: Enseignes, dtype: object",8,0,1
2024-03-15,Gazole,18700001,"1707    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,19110001,"1721    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,19130002,"1724    Carrefour
Name: Enseignes, dtype: object",1,0,3
2024-03-15,Gazole,19190001,"1733    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,19316001,"1753    Carrefour
Name: Enseignes, dtype: object",9,0,1
2024-03-15,Gazole,19330002,"1755    Carrefour
Name: Enseignes, dtype: object",1,1,4
2024-03-15,Gazole,19350001,"1758    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,19600001,"1768    Carrefour
Name: Enseignes, dtype: object",5,3,2
2024-03-15,Gazole,21000001,"1912    Carrefour
Name: Enseignes, dtype: object",13,0,11
2024-03-15,Gazole,21190002,"1955    Carrefour
Name: Enseignes, dtype: object",1,0,3
2024-03-15,Gazole,21200001,"1958    Carrefour
Name: Enseignes, dtype: object",4,2,2
2024-03-15,Gazole,21230005,"1973    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,21320004,"1989    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,21490004,"2013    Carrefour
Name: Enseignes, dtype: object",4,0,3
2024-03-15,Gazole,21700001,"2029    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,21800002,"2033    Carrefour
Name: Enseignes, dtype: object",8,1,16
2024-03-15,Gazole,21800010,"2037    Carrefour
Name: Enseignes, dtype: object",7,1,18
2024-03-15,Gazole,22100001,"2045    Carrefour
Name: Enseignes, dtype: object",1,1,5
2024-03-15,Gazole,22150005,"2064    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,22170005,"2068    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,22200003,"2070    Carrefour
Name: Enseignes, dtype: object",2,0,3
2024-03-15,Gazole,22360001,"2101    Carrefour
Name: Enseignes, dtype: object",2,0,8
2024-03-15,Gazole,22390001,"2103    Carrefour
Name: Enseignes, dtype: object",3,0,1
2024-03-15,Gazole,22400001,"2104    Carrefour
Name: Enseignes, dtype: object",0,2,3
2024-03-15,Gazole,22400010,"2109    Carrefour
Name: Enseignes, dtype: object",6,0,0
2024-03-15,Gazole,22500001,"2123    Carrefour
Name: Enseignes, dtype: object",2,0,3
2024-03-15,Gazole,22580001,"2134    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,22630002,"2143    Carrefour
Name: Enseignes, dtype: object",2,0,1
2024-03-15,Gazole,22650002,"2147    Carrefour
Name: Enseignes, dtype: object",4,0,2
2024-03-15,Gazole,22710001,"2151    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,22960001,"2159    Carrefour
Name: Enseignes, dtype: object",8,0,2
2024-03-15,Gazole,23000001,"2162    Carrefour
Name: Enseignes, dtype: object",0,0,4
2024-03-15,Gazole,23200001,"2174    Carrefour
Name: Enseignes, dtype: object",0,1,0
2024-03-15,Gazole,23210003,"2176    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,23230001,"2178    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,23300005,"2183    Carrefour
Name: Enseignes, dtype: object",1,0,2
2024-03-15,Gazole,23400001,"2189    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,23600001,"2191    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,24100007,"2201    Carrefour
Name: Enseignes, dtype: object",7,0,1
2024-03-15,Gazole,24100008,"2202    Carrefour
Name: Enseignes, dtype: object",1,1,6
2024-03-15,Gazole,24130004,"2221    Carrefour
Name: Enseignes, dtype: object",4,0,3
2024-03-15,Gazole,24170002,"2226    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,24200001,"2228    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,24210002,"2233    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,24220002,"2235    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,24230002,"2236    Carrefour
Name: Enseignes, dtype: object",3,0,1
2024-03-15,Gazole,24240003,"2239    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,24250001,"2240    Carrefour
Name: Enseignes, dtype: object",0,1,2
2024-03-15,Gazole,24270005,"2246    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,24310002,"2253    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,24310003,"2254    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,24340002,"2259    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,24410003,"2268    Carrefour
Name: Enseignes, dtype: object",2,0,0
2024-03-15,Gazole,24450001,"2273    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,24500002,"2280    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,24580001,"2282    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,25022001,"2312    Carrefour
Name: Enseignes, dtype: object",7,2,8
2024-03-15,Gazole,25120001,"2320    Carrefour
Name: Enseignes, dtype: object",1,0,0
2024-03-15,Gazole,25320001,"2352    Carrefour
Name: Enseignes, dtype: object",2,2,8
2024-03-15,Gazole,25420006,"2367    Carrefour
Name: Enseignes, dtype: object",6,0,5
2024-03-15,Gazole,25480001,"2372    Carrefour
Name: Enseignes, dtype: object",5,0,9
2024-03-15,Gazole,26200001,"2442    Carrefour
Name: Enseignes, dtype: object",2,0,7
